iter	RMSE
0	0.2373455212
1	0.2360598749
2	0.2348891672
3	0.2335810789
4	0.2322473318
5	0.2308054887
6	0.229557704
7	0.2284489947
8	0.2274143945
9	0.2264725899
10	0.2251882976
11	0.2242625608
12	0.2235459675
13	0.2226412596
14	0.2217177568
15	0.2207745851
16	0.2200087548
17	0.2191368288
18	0.2181913794
19	0.2173217429
20	0.2163428159
21	0.2156961382
22	0.2149029066
23	0.2142101102
24	0.2135349604
25	0.2128658638
26	0.2122874641
27	0.2117164934
28	0.2112127557
29	0.2105142739
30	0.2100547596
31	0.2093366508
32	0.2088039982
33	0.2082968409
34	0.2077175385
35	0.2070755414
36	0.2065340979
37	0.2059704837
38	0.2055857829
39	0.2048104485
40	0.2043306184
41	0.203629979
42	0.2031613345
43	0.202671881
44	0.2022688815
45	0.2018899653
46	0.2013633394
47	0.2009033716
48	0.2003256849
49	0.199889287
50	0.1993778449
51	0.1990609001
52	0.1985342106
53	0.1978562612
54	0.1974110904
55	0.1967870559
56	0.1964293134
57	0.1959017513
58	0.1954444459
59	0.1949761424
60	0.1946919575
61	0.1942036277
62	0.1935846174
63	0.1933347145
64	0.1930760241
65	0.1926350883
66	0.1920449219
67	0.19173966
68	0.190975603
69	0.1904943444
70	0.1904646612
71	0.1901443578
72	0.1898032936
73	0.1894694624
74	0.1891560227
75	0.1887474887
76	0.1884178301
77	0.188019522
78	0.1875886529
79	0.1871957956
80	0.1867549423
81	0.1861026456
82	0.1857523568
83	0.1855986533
84	0.1853613944
85	0.1850827719
86	0.1848110885
87	0.1844528742
88	0.1841450309
89	0.1837007279
90	0.1834818301
91	0.1831834353
92	0.1829098097
93	0.1825889551
94	0.1822710162
95	0.1819787452
96	0.1817047005
97	0.181347625
98	0.1808399469
99	0.1806002975
100	0.1800762513
101	0.1796491014
102	0.1793022041
103	0.1790495876
104	0.178811228
105	0.1784502284
106	0.1781498817
107	0.1779844282
108	0.1775730608
109	0.1773576603
110	0.1770376865
111	0.1767709521
112	0.1764936476
113	0.1763179866
114	0.1760894316
115	0.1758390708
116	0.1755574149
117	0.1752428765
118	0.1750896785
119	0.1747999487
120	0.1745782491
121	0.1743643424
122	0.1740216144
123	0.1735189508
124	0.1733407687
125	0.173075721
126	0.1728807096
127	0.1725957341
128	0.1723644098
129	0.1721432901
130	0.1719542202
131	0.1715816264
132	0.1713525725
133	0.1711630196
134	0.1709823893
