iter	Passed	Remaining
0	150	150803
1	155	77666
2	158	52824
3	162	40343
4	165	32956
5	170	28230
6	173	24640
7	177	21979
8	180	19877
9	183	18194
10	189	17038
11	194	16017
12	200	15207
13	205	14460
14	209	13789
15	214	13201
16	220	12725
17	224	12272
18	231	11931
19	235	11562
20	240	11219
21	245	10921
22	250	10646
23	255	10389
24	265	10362
25	270	10120
26	274	9904
27	279	9709
28	284	9514
29	288	9342
30	294	9211
31	299	9073
32	306	8979
33	311	8846
34	317	8757
35	323	8666
36	328	8537
37	332	8421
38	338	8341
39	341	8201
40	345	8069
41	348	7940
42	352	7839
43	358	7791
44	363	7708
45	371	7694
46	376	7631
47	380	7547
48	385	7473
49	389	7403
50	394	7336
51	402	7333
52	408	7300
53	414	7262
54	419	7205
55	423	7144
56	429	7105
57	433	7045
58	438	7001
59	443	6946
60	451	6956
61	458	6933
62	462	6885
63	468	6848
64	472	6803
65	478	6765
66	481	6710
67	507	6961
68	512	6917
69	516	6866
70	518	6790
71	523	6748
72	527	6701
73	531	6655
74	552	6810
75	556	6771
76	561	6733
77	567	6707
78	572	6672
79	576	6630
80	581	6602
81	589	6595
82	594	6563
83	598	6530
84	603	6493
85	608	6466
86	612	6432
87	617	6398
88	621	6365
89	627	6341
90	631	6311
91	636	6279
92	640	6249
93	645	6219
94	649	6190
95	654	6167
96	661	6158
97	665	6127
98	670	6101
99	674	6071
100	679	6044
101	683	6017
102	689	6001
103	694	5981
104	698	5956
105	703	5935
106	708	5911
107	712	5887
108	719	5877
109	723	5852
110	727	5830
111	732	5811
112	737	5789
113	742	5768
114	746	5747
115	758	5777
116	762	5751
117	766	5731
118	771	5712
119	777	5699
120	782	5680
121	786	5663
122	793	5660
123	800	5658
124	805	5637
125	809	5618
126	819	5632
127	824	5616
128	828	5596
129	834	5583
130	842	5586
131	847	5571
132	852	5558
133	857	5539
134	862	5524
135	867	5508
136	871	5490
137	876	5475
138	880	5451
139	883	5428
140	886	5401
141	889	5376
142	893	5353
143	897	5335
144	902	5318
145	905	5296
146	910	5281
147	913	5259
148	917	5238
149	920	5217
150	925	5200
151	928	5181
152	931	5159
153	935	5136
154	939	5123
155	943	5102
156	946	5082
157	951	5068
158	954	5049
159	957	5029
160	961	5010
161	964	4990
162	968	4975
163	971	4953
164	974	4933
165	978	4913
166	985	4914
167	988	4893
168	991	4875
169	994	4856
170	999	4846
171	1002	4825
172	1005	4807
173	1008	4788
174	1012	4772
175	1015	4755
176	1018	4737
177	1022	4720
178	1025	4703
179	1029	4691
180	1032	4673
181	1036	4658
182	1039	4641
183	1043	4629
184	1048	4620
185	1054	4614
186	1060	4609
187	1064	4599
188	1075	4615
189	1080	4606
190	1085	4597
191	1090	4589
192	1095	4581
193	1100	4570
194	1106	4568
195	1113	4567
196	1118	4558
197	1122	4548
198	1127	4540
199	1132	4531
200	1137	4522
201	1143	4516
202	1149	4513
203	1155	4506
204	1159	4497
205	1165	4492
206	1170	4482
207	1174	4472
208	1180	4466
209	1184	4457
210	1189	4448
211	1196	4445
212	1200	4434
213	1203	4419
214	1206	4403
215	1209	4389
216	1212	4374
217	1215	4360
218	1219	4348
219	1224	4340
220	1227	4326
221	1230	4313
222	1234	4302
223	1238	4289
224	1242	4278
