iter	RMSE
0	0.2079693741
1	0.2069992704
2	0.2062117363
3	0.2054277928
4	0.2045436111
5	0.2037564395
6	0.2031630283
7	0.2025936478
8	0.2020016843
9	0.2014560174
10	0.2009839432
11	0.2005156306
12	0.2001266293
13	0.1996286687
14	0.1990899358
15	0.1985913153
16	0.1981836964
17	0.1979139823
18	0.1975032934
19	0.1971108193
20	0.1968412106
21	0.196661316
22	0.1964047934
23	0.1960569515
24	0.1957628594
25	0.1953296604
26	0.1949990821
27	0.1946975402
28	0.1944412428
29	0.1941828639
30	0.1939875908
31	0.193687985
32	0.193428826
33	0.1931453402
34	0.192939774
35	0.1925747796
36	0.1924470987
37	0.1922280176
38	0.1920131867
39	0.1918120936
40	0.1916268982
41	0.1914115173
42	0.1911270768
43	0.1908808133
44	0.1906721977
45	0.1904383723
46	0.1902391425
47	0.1899569995
48	0.189716587
49	0.1895031787
50	0.1892952251
51	0.1891036545
52	0.1888937294
53	0.1886664972
54	0.1884585948
55	0.188317442
56	0.1881995253
57	0.1880182002
58	0.1878024796
59	0.1875730545
60	0.1872966758
61	0.1871235862
62	0.1870198698
63	0.1867506747
64	0.186530766
65	0.1863862887
66	0.1862208362
67	0.1860550139
68	0.185938257
69	0.185706053
70	0.1855101177
71	0.1852449939
72	0.1850912308
73	0.1850641694
74	0.1848990476
75	0.1847403635
76	0.1846124072
77	0.1844964469
78	0.1843728118
79	0.1842279621
80	0.1840478139
81	0.1838120555
82	0.1837345363
83	0.1834541389
84	0.1833565145
85	0.1832582499
86	0.1831389849
87	0.1829397704
88	0.1827427802
89	0.1825864529
90	0.182454501
91	0.1822439463
92	0.1821407359
93	0.1818745359
94	0.1816824424
95	0.1815895085
96	0.1814687584
97	0.1812794193
98	0.1810894982
99	0.1810231794
100	0.1809515145
101	0.1807369022
102	0.1805983057
103	0.1805752605
104	0.1803935196
105	0.1802037008
106	0.1801363262
107	0.1799870027
108	0.1799573565
109	0.1797910314
110	0.1796869623
111	0.179550575
112	0.1794870287
113	0.179341582
114	0.1792371369
115	0.1790764444
116	0.1790334028
117	0.1788879648
