iter	Passed	Remaining
0	191	191238
1	200	99822
2	210	69970
3	219	54728
4	229	45706
5	237	39357
6	246	34959
7	257	31880
8	267	29430
9	283	28017
10	293	26356
11	308	25416
12	316	24028
13	327	23057
14	342	22496
15	361	22204
16	373	21587
17	381	20804
18	388	20078
19	404	19841
20	434	20266
21	460	20456
22	481	20464
23	506	20580
24	524	20440
25	544	20403
26	558	20120
27	569	19772
28	585	19588
29	595	19268
30	604	18893
31	620	18755
32	628	18419
33	640	18208
34	657	18121
35	667	17882
36	678	17653
37	693	17565
38	701	17291
39	714	17147
40	723	16924
41	734	16757
42	742	16529
43	749	16275
44	758	16101
45	764	15855
46	771	15635
47	784	15550
48	790	15341
49	801	15237
50	811	15092
51	818	14927
52	832	14882
53	840	14724
54	848	14582
55	854	14410
56	863	14280
57	869	14122
58	885	14122
59	893	14005
60	914	14074
61	936	14167
62	946	14076
63	964	14104
64	983	14148
65	1000	14153
66	1024	14264
67	1036	14204
68	1049	14156
69	1067	14187
70	1093	14301
71	1101	14191
72	1149	14599
73	1161	14533
74	1174	14486
75	1193	14504
76	1205	14455
77	1220	14432
78	1231	14352
79	1245	14319
80	1253	14223
81	1267	14187
82	1283	14177
83	1294	14112
84	1302	14024
85	1321	14048
86	1346	14125
87	1370	14199
88	1387	14206
89	1412	14281
90	1420	14192
91	1439	14206
92	1446	14110
93	1464	14112
94	1473	14034
95	1485	13989
96	1493	13899
97	1499	13800
98	1513	13772
99	1519	13673
100	1530	13621
101	1545	13604
102	1566	13640
103	1579	13612
104	1590	13557
105	1597	13472
106	1608	13424
107	1618	13369
108	1634	13364
109	1643	13298
110	1660	13300
111	1669	13235
112	1685	13229
113	1695	13178
114	1707	13142
115	1715	13073
116	1722	13001
117	1732	12952
118	1739	12874
119	1749	12833
120	1759	12782
121	1775	12781
122	1791	12775
123	1808	12772
124	1815	12711
125	1826	12671
126	1833	12600
127	1839	12530
128	1852	12505
129	1858	12437
130	1870	12411
131	1883	12382
132	1889	12320
133	1903	12302
134	1911	12250
135	1919	12195
136	1937	12202
137	1957	12226
138	1972	12215
139	1981	12170
140	1999	12182
141	2007	12129
142	2023	12124
143	2031	12075
144	2042	12041
145	2052	12005
146	2058	11945
147	2072	11931
148	2079	11874
149	2090	11845
150	2100	11812
151	2111	11779
152	2118	11730
153	2127	11688
154	2146	11700
155	2160	11690
156	2172	11666
157	2193	11689
158	2214	11715
159	2234	11732
160	2243	11691
161	2252	11651
162	2267	11641
163	2296	11706
164	2305	11669
165	2317	11643
166	2337	11661
167	2346	11620
168	2366	11634
169	2376	11602
170	2397	11621
171	2409	11601
172	2421	11573
173	2445	11610
174	2459	11595
175	2495	11682
176	2509	11667
177	2519	11634
178	2539	11648
179	2547	11606
180	2561	11592
181	2573	11565
182	2586	11545
183	2603	11544
184	2611	11504
185	2626	11492
186	2640	11478
187	2651	11450
188	2660	11416
189	2674	11403
190	2683	11366
191	2697	11351
192	2709	11329
193	2725	11324
194	2733	11284
195	2752	11289
196	2769	11290
197	2781	11265
198	2800	11272
199	2814	11258
200	2821	11216
201	2828	11175
202	2840	11151
203	2847	11109
204	2862	11100
205	2868	11055
206	2881	11040
207	2894	11019
208	2906	10998
209	2923	10997
210	2932	10965
211	2943	10940
212	2958	10931
213	2965	10890
214	2971	10848
215	2984	10834
216	2995	10810
217	3007	10788
218	3013	10747
219	3019	10706
220	3031	10684
221	3037	10645
222	3043	10605
223	3056	10587
224	3062	10547
225	3070	10517
226	3080	10488
227	3106	10519
228	3117	10496
229	3129	10475
230	3135	10436
231	3141	10398
232	3153	10382
233	3161	10347
234	3167	10310
235	3182	10301
236	3195	10288
237	3204	10260
238	3211	10226
239	3222	10203
240	3230	10174
241	3239	10145
242	3255	10140
243	3260	10102
244	3273	10088
245	3279	10052
246	3287	10020
247	3296	9994
248	3302	9959
249	3308	9924
250	3318	9902
251	3323	9864
252	3331	9835
253	3336	9799
254	3346	9778
255	3352	9743
256	3360	9715
257	3370	9693
258	3378	9665
259	3383	9629
260	3395	9613
261	3400	9577
262	3405	9543
263	3413	9515
264	3423	9494
265	3430	9466
266	3443	9453
267	3451	9426
268	3460	9403
269	3466	9372
270	3472	9342
271	3479	9312
272	3485	9282
273	3491	9251
274	3498	9223
275	3508	9203
276	3513	9171
277	3519	9141
278	3527	9115
279	3533	9085
280	3539	9057
281	3544	9025
282	3555	9007
283	3562	8982
284	3571	8959
285	3580	8939
286	3586	8909
287	3591	8877
288	3595	8846
289	3605	8826
290	3609	8795
291	3615	8765
292	3619	8734
293	3630	8717
294	3634	8686
295	3641	8661
296	3653	8647
297	3660	8621
298	3666	8596
299	3678	8582
300	3683	8555
301	3688	8525
302	3696	8503
303	3701	8474
304	3708	8450
305	3714	8424
306	3726	8411
307	3730	8382
308	3737	8357
309	3746	8338
310	3752	8314
311	3758	8288
312	3771	8278
313	3776	8251
314	3784	8228
315	3794	8212
316	3801	8190
317	3807	8165
318	3825	8167
319	3832	8144
320	3848	8140
321	3854	8115
322	3864	8099
